Contig	Gene	Length	Gene id	function	Hit	Contig	Gene	Gene id	percent identity 1587.866	function
1	1	88	fig|1587.864.peg.1	hypothetical protein	bi	523	562	fig|1587.866.peg.562	100	Mobile element protein
1	2	674	fig|1587.864.peg.2	Cyclic-di-AMP phosphodiesterase GdpP	bi	930	1032	fig|1587.866.peg.1032	99.55	Cyclic-di-AMP phosphodiesterase GdpP
1	3	152	fig|1587.864.peg.3	LSU ribosomal protein L9p	bi	930	1033	fig|1587.866.peg.1033	99.34	LSU ribosomal protein L9p
1	4	465	fig|1587.864.peg.4	Replicative DNA helicase (DnaB) (EC 3.6.4.12)	bi	930	1034	fig|1587.866.peg.1034	99.14	Replicative DNA helicase (DnaB) (EC 3.6.4.12)
1	5	43	fig|1587.864.peg.5	hypothetical protein	-	 		 	0	 
1	6	310	fig|1587.864.peg.6	ABC transporter, substrate-binding protein (cluster 12, methionine/phosphonates)	bi	930	1035	fig|1587.866.peg.1035	96.76	ABC transporter, substrate-binding protein (cluster 12, methionine/phosphonates)
1	7	310	fig|1587.864.peg.7	DegV family protein	bi	930	1037	fig|1587.866.peg.1037	98.71	DegV family protein
1	8	293	fig|1587.864.peg.8	Fructokinase (EC 2.7.1.4)	bi	930	1038	fig|1587.866.peg.1038	99.32	Fructokinase (EC 2.7.1.4)
1	9	76	fig|1587.864.peg.9	Mobile element protein	bi	930	1816	fig|1587.866.peg.1816	97.33	Mobile element protein
1	10	144	fig|1587.864.peg.10	Mobile element protein	uni	930	1816	fig|1587.866.peg.1816	96.5	Mobile element protein
1	11	57	fig|1587.864.peg.11	hypothetical protein	bi	930	1039	fig|1587.866.peg.1039	96.43	hypothetical protein
1	12	87	fig|1587.864.peg.12	FIG00752508: hypothetical protein	bi	930	1040	fig|1587.866.peg.1040	98.84	FIG00752508: hypothetical protein
1	13	410	fig|1587.864.peg.13	hypothetical protein	bi	930	1041	fig|1587.866.peg.1041	99.27	hypothetical protein
1	14	235	fig|1587.864.peg.14	Mg(2+)-transport-ATPase-associated protein MgtC	bi	930	1042	fig|1587.866.peg.1042	98.29	Mg(2+)-transport-ATPase-associated protein MgtC
1	15	3056	fig|1587.864.peg.15	hypothetical protein	-	 		 	0	 
1	16	126	fig|1587.864.peg.16	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	-	 		 	0	 
1	17	64	fig|1587.864.peg.17	putative replication initiator protein	-	 		 	0	 
1	18	172	fig|1587.864.peg.18	putative replication initiator protein	-	 		 	0	 
1	19	67	fig|1587.864.peg.19	hypothetical protein	-	 		 	0	 
1	20	400	fig|1587.864.peg.20	Integrase	-	 		 	0	 
1	21	429	fig|1587.864.peg.21	Enolase (EC 4.2.1.11)	uni	930	2263	fig|1587.866.peg.2263	74.76	Enolase (EC 4.2.1.11)
